step_index,relative_time,mode,step_size,temperature,k_neighbors,return_anchor,return_strength,segment_duration_scale,segment_energy_scale,cleanup_policy
0,0.0,drift,0.08,0.05,2,-1,0.0,1.0,0.95,none
1,0.0127,drift,0.09,0.059,2,-1,0.0,1.001,0.954,none
2,0.0253,drift,0.1,0.069,2,-1,0.0,1.003,0.957,none
3,0.038,drift,0.11,0.078,2,-1,0.0,1.004,0.961,none
4,0.0506,drift,0.12,0.087,2,-1,0.0,1.006,0.964,none
5,0.0633,drift,0.13,0.096,2,-1,0.0,1.007,0.968,none
6,0.0759,drift,0.14,0.106,2,-1,0.0,1.009,0.971,none
7,0.0886,drift,0.15,0.115,2,-1,0.0,1.01,0.975,none
8,0.1013,drift,0.16,0.124,3,-1,0.0,1.011,0.979,none
9,0.1139,drift,0.17,0.134,3,-1,0.0,1.013,0.982,none
10,0.1266,drift,0.18,0.143,3,-1,0.0,1.014,0.986,none
11,0.1392,drift,0.19,0.152,3,-1,0.0,1.016,0.989,none
12,0.1519,drift,0.2,0.161,3,-1,0.0,1.017,0.993,none
13,0.1646,drift,0.21,0.171,3,-1,0.0,1.019,0.996,none
14,0.1772,drift,0.22,0.18,3,-1,0.0,1.02,1.0,none
15,0.1899,drift,0.22,0.18,3,-1,0.0,1.02,1.0,none
16,0.2025,drift,0.24,0.23,3,-1,0.0,1.028,1.012,none
17,0.2152,drift,0.26,0.28,3,-1,0.0,1.035,1.025,none
18,0.2278,drift,0.28,0.33,4,-1,0.0,1.042,1.038,none
19,0.2405,drift,0.3,0.38,4,-1,0.0,1.05,1.05,none
20,0.2532,mutate,0.3,0.38,4,-1,0.0,1.05,1.05,none
21,0.2658,mutate,0.329,0.411,4,-1,0.0,1.071,1.062,none
22,0.2785,mutate,0.358,0.442,4,-1,0.0,1.092,1.075,none
23,0.2911,mutate,0.388,0.473,5,-1,0.0,1.113,1.087,none
24,0.3038,mutate,0.417,0.503,5,-1,0.0,1.133,1.1,none
25,0.3165,mutate,0.446,0.534,5,-1,0.0,1.154,1.113,none
26,0.3291,mutate,0.475,0.565,6,-1,0.0,1.175,1.125,none
27,0.3418,mutate,0.504,0.596,6,-1,0.0,1.196,1.137,none
28,0.3544,mutate,0.533,0.627,6,-1,0.0,1.217,1.15,none
29,0.3671,mutate,0.562,0.657,6,-1,0.0,1.238,1.163,none
30,0.3797,mutate,0.592,0.688,6,-1,0.0,1.258,1.175,none
31,0.3924,mutate,0.621,0.719,7,-1,0.0,1.279,1.188,none
32,0.4051,mutate,0.65,0.75,7,-1,0.0,1.3,1.2,none
33,0.4177,mutate,0.641,0.741,7,-1,0.0,1.294,1.196,none
34,0.4304,mutate,0.633,0.732,7,-1,0.0,1.288,1.192,none
35,0.443,mutate,0.624,0.722,7,-1,0.0,1.281,1.189,none
36,0.4557,mutate,0.615,0.713,7,-1,0.0,1.275,1.185,none
37,0.4684,mutate,0.606,0.704,7,-1,0.0,1.269,1.181,none
38,0.481,mutate,0.598,0.695,7,-1,0.0,1.262,1.177,none
39,0.4937,mutate,0.589,0.685,6,-1,0.0,1.256,1.174,none
40,0.5063,mutate,0.58,0.676,6,-1,0.0,1.25,1.17,none
41,0.519,mutate,0.571,0.667,6,-1,0.0,1.244,1.166,none
42,0.5316,mutate,0.562,0.657,6,-1,0.0,1.238,1.163,none
43,0.5443,mutate,0.554,0.648,6,-1,0.0,1.231,1.159,none
44,0.557,mutate,0.545,0.639,6,-1,0.0,1.225,1.155,none
45,0.5696,return,0.45,0.55,6,5,0.5,1.2,1.15,none
46,0.5823,return,0.427,0.52,6,5,0.527,1.186,1.136,none
47,0.5949,return,0.405,0.49,5,5,0.555,1.173,1.123,none
48,0.6076,return,0.382,0.46,5,5,0.582,1.159,1.109,none
49,0.6203,return,0.359,0.43,5,5,0.609,1.145,1.095,none
50,0.6329,return,0.336,0.4,5,5,0.636,1.132,1.082,none
51,0.6456,return,0.314,0.37,4,5,0.664,1.118,1.068,none
52,0.6582,return,0.291,0.34,4,5,0.777,1.105,1.055,none
53,0.6709,return,0.268,0.31,4,5,0.72,1.091,1.041,none
54,0.6835,return,0.245,0.28,4,5,0.664,1.077,1.027,none
55,0.6962,return,0.223,0.25,3,5,0.607,1.064,1.014,none
56,0.7089,return,0.2,0.22,3,5,0.55,1.05,1.0,none
57,0.7215,settle,0.18,0.2,3,-1,0.0,1.03,0.98,none
58,0.7342,settle,0.175,0.193,3,-1,0.0,1.029,0.979,none
59,0.7468,settle,0.169,0.185,3,-1,0.0,1.027,0.977,none
60,0.7595,settle,0.164,0.178,3,-1,0.0,1.026,0.976,none
61,0.7722,settle,0.158,0.171,3,-1,0.0,1.025,0.975,none
62,0.7848,settle,0.153,0.164,3,-1,0.0,1.023,0.973,none
63,0.7975,settle,0.147,0.156,3,-1,0.0,1.022,0.972,none
64,0.8101,settle,0.142,0.149,3,-1,0.0,1.02,0.97,none
65,0.8228,settle,0.136,0.142,3,-1,0.0,1.019,0.969,none
66,0.8354,settle,0.131,0.135,3,-1,0.0,1.018,0.968,none
67,0.8481,settle,0.125,0.127,3,-1,0.0,1.016,0.966,none
68,0.8608,settle,0.12,0.12,2,-1,0.0,1.015,0.965,none
69,0.8734,settle,0.115,0.113,2,-1,0.0,1.014,0.964,none
70,0.8861,settle,0.109,0.105,2,-1,0.0,1.012,0.962,none
71,0.8987,settle,0.104,0.098,2,-1,0.0,1.011,0.961,none
72,0.9114,settle,0.098,0.091,2,-1,0.0,1.01,0.96,none
73,0.9241,settle,0.093,0.084,2,-1,0.0,1.008,0.958,none
74,0.9367,settle,0.087,0.076,2,-1,0.0,1.007,0.957,none
75,0.9494,settle,0.082,0.069,2,-1,0.0,1.005,0.955,none
76,0.962,settle,0.076,0.062,2,-1,0.0,1.004,0.954,none
77,0.9747,settle,0.071,0.055,2,-1,0.0,1.003,0.953,none
78,0.9873,settle,0.065,0.047,2,-1,0.0,1.001,0.951,none
79,1.0,settle,0.06,0.04,2,-1,0.0,1.0,0.95,praat_cleanup
